worker,language,age,gender,education,block,qType,cond,scenario,who,whoCorrect,what,whatCorrect,where,whereCorrect,month,monthCorrect,day,dayCorrect,time,timeCorrect,ampm,ampmCorrect,responseTime,comments,SUS,polarity,response,mental,physical,temp,success,perf,stress,preference
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,1,training,ext,train,Sphere,,airport*,,Bonoboland*,,January*,,1*,,6:00,,AM*,,7041,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,1,test,ext,Scenario1,Chartreuse,False,dignitary-visiting,False,Chiland,False,January,False,1,False,1:00,False,PM,False,6446,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,1,test,ext,Scenario4,Turquoise,False,secular-school*,True,Piland,False,June,False,15,False,4:00,False,PM,False,11175,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,1,comments,ext,comments,,,,,,,,,,,,,,,4729,test 1,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,2,training,orig,train,Tetrahedron,,airport*,,Gibbonland,,January*,,1*,,4:00,,PM,,8961,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,2,test,orig,Scenario7,Rectangle,False,museum,False,Cricketland,False,September*,True,16,False,9:00,False,PM*,True,10414,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,2,test,orig,Scenario8,Raider,False,indoor-mall*,True,Salmonland*,True,July,False,17,False,6:00,False,AM*,True,10363,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,2,comments,orig,comments,,,,,,,,,,,,,,,3963,test 1,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513023890,No,50-64,Male,Ed1,NA,questionnaire,a,NA,,,,,,,,,,,,,,,11852,,,,,1,2,3,4,5,6,7
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,1,training,ext,train,Cube*,,military-base,,Gibbonland,,February,,15,,4:00,,PM,,10078,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,1,test,ext,Scenario1,Brown,False,embassy,False,Omegaland,False,November,False,17,False,12:00,False,AM*,True,12278,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,1,test,ext,Scenario4,Rose,False,military-base,False,Muland,False,November,False,9,False,11:00,False,AM*,True,13175,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,1,comments,ext,comments,,,,,,,,,,,,,,,7254,comments testing 1,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,2,training,orig,train,Cube*,,outdoor-mall,,Gibbonland,,January*,,4,,8:00,,PM,,9714,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,2,test,orig,Scenario8,Titan,False,indoor-mall*,True,Salmonland*,True,July,False,4,False,11:00,False,AM*,True,14299,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,2,test,orig,Scenario7,Circle,False,hospital,False,Cricketland,False,December,False,11,False,7:00,False,AM,False,12100,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,2,comments,orig,comments,,,,,,,,,,,,,,,18413,testing comments 2%0A,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513084510,Yes,18-29,Female,Ed1,NA,questionnaire,a,NA,,,,,,,,,,,,,,,18966,,,,,11,11,11,6,6,6,8
55fe0d2fb95bb212403942cf8c7be90b--1513086527,No,50-64,Other/prefer not to say ,Ed2,1,training,ext,train,Sphere,,airport*,,Gibbonland,,January*,,15,,3:00,,PM,,9853,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513086527,No,50-64,Other/prefer not to say ,Ed2,1,test,ext,Scenario8,Steeler,False,military-base,False,Perchland,False,November,False,15*,True,9:00,False,AM*,True,10154,,,,,,,,,,,
55fe0d2fb95bb212403942cf8c7be90b--1513086527,No,50-64,Other/prefer not to say ,Ed2,1,test,ext,Scenario1,Chartreuse,False,train,False,Psiland*,True,November,False,17,False,10:00,False,PM,False,10048,,,,,,,,,,,
